,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,I'm Just a Girl Who Can't Say D'oh,tt0096697,tt8733716,-1,-1,,,,,"
  Know what this is about?
 Be the first one to add a plot.
    ",The Simpsons,I'm Just a Girl Who Can't Say D'oh
1,Simpsons Roasting on an Open Fire,tt0096697,tt0348034,1,1,8.2,4733.0,1989-12-17,1989,"
    The family is forced to spend all of their savings to get Bart's new tattooo removed, and with no money for Christmas, Homer is forced to become a store Santa.    ",The Simpsons,Simpsons Roasting on an Open Fire
2,Bart the Genius,tt0096697,tt0756593,1,2,7.8,2800.0,1990-01-14,1990,"
    Bart ends up at a school for gifted children after cheating on an IQ test.    ",The Simpsons,Bart the Genius
3,Homer's Odyssey,tt0096697,tt0701124,1,3,7.5,2461.0,1990-01-21,1990,"
    After losing his job, Homer contemplates ending it all, until he discovers a new life path as a safety advocate.    ",The Simpsons,Homer's Odyssey
4,There's No Disgrace Like Home,tt0096697,tt0756399,1,4,7.8,2423.0,1990-01-28,1990,"
    After being embarrassed by the rest of the family at a company picnic, Homer becomes obsessed with improving their behavior towards each other.    ",The Simpsons,There's No Disgrace Like Home
5,Bart the General,tt0096697,tt0701059,1,5,8.1,2483.0,1990-02-04,1990,"
    After being beaten up by Nelson Muntz one too many times, Bart turns to Grampa for help, and soon leads a rebellion against the school bully.    ",The Simpsons,Bart the General
6,Moaning Lisa,tt0096697,tt0701178,1,6,7.6,2403.0,1990-02-11,1990,"
    A depressed Lisa's spirit is lifted when she meets a jazz-man, Bleeding Gums Murphy.    ",The Simpsons,Moaning Lisa
7,The Call of the Simpsons,tt0096697,tt0701228,1,7,7.9,2324.0,1990-02-18,1990,"
    Homer takes the family camping, but it soon becomes a misadventure when they lose their equipment and Homer is mistaken for Bigfoot.    ",The Simpsons,The Call of the Simpsons
8,The Telltale Head,tt0096697,tt0756398,1,8,7.8,2266.0,1990-02-25,1990,"
    Bart gets more than he bargained for when he saws the head off a statue of the town's founder.    ",The Simpsons,The Telltale Head
9,Life on the Fast Lane,tt0096697,tt0701152,1,9,7.5,2269.0,1990-03-18,1990,"
    Marge contemplates an affair with a handsome bowling instructor.    ",The Simpsons,Life on the Fast Lane
