,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,My Furry Valentine,tt6524350,tt9700916,-1,-1,,,2019-02-08,2019,"
  Know what this is about?
 Be the first one to add a plot.
    ",Big Mouth,My Furry Valentine
1,Ejaculation,tt6524350,tt6953730,1,1,7.4,1114.0,2017-09-29,2017,"
    As Andrew falls under the spell of the randy Hormone Monster, his buddy Nick becomes obsessed with the lack of changes in his own body.    ",Big Mouth,Ejaculation
2,Everybody Bleeds,tt6524350,tt7111310,1,2,7.6,965.0,2017-09-29,2017,"
    A field trip goes from awkward to mortifying as Jessi navigates the demands of coupledom and gets her first period -- inside the Statue of Liberty.    ",Big Mouth,Everybody Bleeds
3,Am I Gay?,tt6524350,tt7192428,1,3,7.5,887.0,2017-09-29,2017,"
    A trailer for a new movie starring The Rock leaves Andrew questioning his sexuality. Jessi and Nick's budding romance turns ugly fast.    ",Big Mouth,Am I Gay?
4,Sleepover: A Harrowing Ordeal of Emotional Brutality,tt6524350,tt7192436,1,4,7.6,836.0,2017-09-29,2017,"
    While the boys head to Jay's for a testosterone-fueled sleepover, Jessi throws a party of her own and gets caught up in mean-girl drama.    ",Big Mouth,Sleepover: A Harrowing Ordeal of Emotional Brutality
5,Girls Are Horny Too,tt6524350,tt7193024,1,5,8.2,893.0,2017-09-29,2017,"
    A steamy novel making the rounds at school inspires Jessi to explore her own sexuality -- and leaves the boys totally confused about what girls want.    ",Big Mouth,Girls Are Horny Too
6,Pillow Talk,tt6524350,tt7197038,1,6,7.1,791.0,2017-09-29,2017,"
    Nick drags Andrew into the city to visit an old camp crush, but the day doesn't go as planned. Jay embarks on an emotional journey with his pillow.    ",Big Mouth,Pillow Talk
7,Requiem for a Wet Dream,tt6524350,tt7200846,1,7,7.5,748.0,2017-09-29,2017,"
    Andrew struggles to keep the Hormone Monster in check as he works with Missy on a science fair project. Jessi and Matthew have fun at Jay's expense.    ",Big Mouth,Requiem for a Wet Dream
8,The Head Push,tt6524350,tt7203690,1,8,8.2,823.0,2017-09-29,2017,"
    When Leah hosts a party for the high school drama crowd, Nick wrestles with a romantic dilemma, and Andrew and Missy witness a disturbing scene.    ",Big Mouth,The Head Push
9,I Survived Jessi's Bat Mitzvah,tt6524350,tt7234634,1,9,7.8,752.0,2017-09-29,2017,"
    Family blowups, secret liaisons and an unflattering dress make Jessi's bat mitzvah a night to remember.    ",Big Mouth,I Survived Jessi's Bat Mitzvah
